RefSeq_mRNA_accession	EnsemblTrancriptID
NM_145554	ENSMUST00000148479
NM_145554	ENSMUST00000037828
NM_145554	ENSMUST00000140678
NM_001081392	ENSMUST00000125323
NM_001081392	ENSMUST00000151626
NM_001081392	ENSMUST00000124361
NM_001081392	ENSMUST00000149941
NM_001081392	ENSMUST00000133403
NM_001081392	ENSMUST00000138577
NM_001081392	ENSMUST00000178134
NM_001081392	ENSMUST00000124657
NM_001081392	ENSMUST00000150934
NM_001081392	ENSMUST00000071642
NM_001081392	ENSMUST00000136608
NM_001081975	ENSMUST00000056732
NM_145554	ENSMUST00000148479
NM_145554	ENSMUST00000037828
NM_145554	ENSMUST00000140678
NM_001081392	ENSMUST00000125323
NM_001081392	ENSMUST00000151626
NM_001081392	ENSMUST00000124361
NM_001081392	ENSMUST00000149941
NM_001081392	ENSMUST00000133403
NM_001081392	ENSMUST00000138577
NM_001081392	ENSMUST00000178134
NM_001081392	ENSMUST00000124657
NM_001081392	ENSMUST00000150934
NM_001081392	ENSMUST00000071642
NM_001081392	ENSMUST00000136608
NM_001162938	ENSMUST00000085876
NM_001162938	ENSMUST00000169857
NM_001162938	ENSMUST00000182880
NM_001081957	ENSMUST00000092836
NM_001081975	ENSMUST00000056732
NR_028378	-
NM_001302354	ENSMUST00000160253
NM_001302354	ENSMUST00000159378
NM_001302354	ENSMUST00000159433
NM_001302354	ENSMUST00000161400
NM_001302354	ENSMUST00000159168
NM_001302354	ENSMUST00000159335
NM_001302354	ENSMUST00000162034
NM_001302354	ENSMUST00000160705
NR_038097	ENSMUST00000187514
NR_038097	ENSMUST00000190563
NR_038097	ENSMUST00000188296
NR_038097	ENSMUST00000070956
NM_008929	ENSMUST00000022734
NR_015525	ENSMUST00000191563
NR_033551	ENSMUST00000139017
NR_033551	ENSMUST00000153181
NR_033551	ENSMUST00000141696
NM_001166213	ENSMUST00000125525
NM_001166213	ENSMUST00000127285
NM_001166213	ENSMUST00000125339
NM_001166213	ENSMUST00000124485
NM_001166213	ENSMUST00000132891
NM_001166213	ENSMUST00000126559
NM_001166213	ENSMUST00000141594
NM_001166213	ENSMUST00000143662
NM_001083945	ENSMUST00000024572
NM_001083938	ENSMUST00000097420
NR_033548	ENSMUST00000148318
NM_001162532	ENSMUST00000107456
NM_001162532	ENSMUST00000206337
NM_001162532	ENSMUST00000205946
NR_045880	ENSMUST00000147542
NR_030718	ENSMUST00000133125
NR_030718	ENSMUST00000147681
NR_026798	-
NR_045282	ENSMUST00000138678
NR_045282	ENSMUST00000146364
